issue_id,issue_type,status,priority,assignee,created_at,resolved_at,time_spent_hours,comments,description
PROJ-1,Story,Review,Low,dave,2024-11-11 00:25:21,,,0,Generated story related to project feature development.
PROJ-2,Task,Done,Medium,dave,2024-11-11 18:25:21,2024-11-14 03:25:21,60.0,4,Generated bug related to project feature development.
PROJ-3,Bug,Done,High,charlie,2024-11-12 13:25:21,2024-11-16 05:25:21,92.0,14,Generated task related to project feature development.
PROJ-4,Task,Done,Medium,charlie,2024-11-14 09:25:21,2024-11-17 21:25:21,9.0,2,Generated bug related to project feature development.
PROJ-5,Bug,Done,Low,bob,2024-11-16 07:25:21,2024-11-23 07:25:21,39.0,8,Generated epic related to project feature development.
PROJ-6,Epic,To Do,Low,alice,2024-11-16 21:25:21,,,17,Generated epic related to project feature development.
PROJ-7,Epic,Done,Medium,eve,2024-11-17 11:25:21,,,15,Generated epic related to project feature development.
PROJ-8,Bug,Done,Critical,eve,2024-11-19 08:25:21,2024-11-27 15:25:21,6.0,18,Generated story related to project feature development.
PROJ-9,Epic,Done,High,alice,2024-11-19 13:25:21,2024-11-25 04:25:21,82.0,20,Generated epic related to project feature development.
PROJ-10,Epic,Done,Low,bob,2024-11-20 03:25:21,2024-11-20 13:25:21,61.0,1,Generated task related to project feature development.
PROJ-11,Task,Done,Low,eve,2024-11-21 00:25:21,2024-11-30 09:25:21,12.0,2,Generated task related to project feature development.
PROJ-12,Story,Done,High,eve,2024-11-21 22:25:21,2024-11-27 07:25:21,16.0,14,Generated story related to project feature development.
PROJ-13,Task,Done,Low,alice,2024-11-22 15:25:21,2024-11-23 20:25:21,48.0,0,Generated epic related to project feature development.
PROJ-14,Bug,Done,Critical,dave,2024-11-22 18:25:21,2024-11-25 02:25:21,103.0,5,Generated task related to project feature development.
PROJ-15,Task,Done,Critical,charlie,2024-11-23 10:25:21,,,6,Generated bug related to project feature development.
PROJ-16,Story,Done,Medium,charlie,2024-11-24 08:25:21,2024-12-03 09:25:21,78.0,7,Generated epic related to project feature development.
